name,t_in,t_out,EStart,EEnd
2014002128,26,114,59.2597036,60.0
2012008935,39,116,10.623546394467354,29.999999994467355
2016006162,41,104,13.384793358244071,24.0
2013000112,13,143,22.905648798244066,24.0
2015007395,130,140,39.28867172,40.0
2015007395,141,143,39.26131294,40.0
2015001132,0,18,38.74149558054121,40.0
2015001132,21,108,38.68677855999999,40.0
2012010380,8,143,4.75,40.0
2013003509,26,86,22.7688549,24.0
2013003509,117,143,21.264122,24.0
2013000555,44,97,17.43389279824406,23.999999998244064
2014003985,87,143,35.3651008,40.0
2015001690,18,100,21.81129759824406,24.0
2013007003,138,143,23.573905374467373,27.57396081277274
2013005312,45,143,50.66677918327788,75.0
2012003731,27,143,15.860338754467357,29.999999994467345
2012006786,1,6,33.748422142986705,39.175088809653374
2012006786,15,87,29.217783142986704,59.7107008500371
2013004522,12,143,20.935816638244063,24.0
2014005229,44,143,28.339161114467352,30.0
2015002878,14,88,17.65002716024406,24.0
2012003204,140,143,39.179236599999996,40.0
2012003454,9,19,73.068792,75.0
2012003454,39,111,69.7857384,75.0
2012002148,20,28,28.892774080000002,30.0
2012002148,32,88,28.892774080000002,30.0
2012002148,142,143,28.615967600000005,29.076365034220707
2013006180,137,143,28.726690192,30.0
2012008974,57,60,35.1076064,36.92144203143149
2012008974,60,126,39.7264122,40.0
2013007106,19,143,47.30059237593826,74.89146664994456
2012009261,17,89,19.6225952,24.0
2012009261,139,141,22.9056488,23.71332081252336
2013001536,3,34,53.707480600000004,60.0
2013001536,37,118,56.89075512000001,60.0
2013001536,122,129,54.817925200000005,58.00970493832142
2014003451,36,116,4.75,39.453009279936154
2012008860,36,126,4.75,39.99883387063927
2015005438,8,121,21.73230082920666,40.0
2016008163,75,90,37.64714438054119,40.0
2012010498,8,18,21.8112976,24.0
2014001068,96,143,52.30830598327788,74.17639104940011
2012004209,39,110,31.675615995662415,59.935493442549316
2012000078,138,143,36.1697702605412,38.67372940587929
2014000008,14,143,36.7169458605412,40.0
2012002583,8,16,69.0776288,72.5518785776052
2012002583,22,38,72.7791108,75.0
2012002583,46,92,71.137584,75.0
2012002583,127,130,71.5238256,72.88255013554047
2012002583,139,143,68.43389280000001,70.58374409982854
2016003362,3,92,18.927740794467354,29.999999994467334
2012000791,19,22,25.02999298327787,28.285992983277872
2012000791,26,92,27.730576449944543,73.92356934802204
2013001150,15,22,59.1116443156624,60.0
2013001150,30,92,58.519407199999996,60.0
2013002818,0,143,38.910111096364126,40.0
2012008256,37,143,19.075419598244068,23.99999999824405
2014007252,39,102,36.1697702605412,40.0
2014006579,36,93,4.675,23.999999998244085
2012005387,2,9,54.81792519566239,57.8687185509021
2012005387,36,143,39.722316,59.99999999566238
2016008953,3,18,28.33916111446736,30.0
2016008953,25,126,28.33916112,30.0
2012005510,39,124,22.358473200000002,24.0
2012004760,24,105,69.59261758327786,75.0
2013006058,15,93,12.819110348244061,23.99999999824407
2015009068,4,46,73.45503358327788,75.0
2015009068,66,141,67.275168,75.0
2016007480,3,36,29.557109632,30.0
2016007480,97,120,29.557109632,30.0
2016007480,122,143,29.723193520000002,30.0
2013000107,45,135,65.73020158327787,75.0
2014003097,50,91,4.675,23.562097351386097
2013001252,112,126,37.811297599999996,40.0
2012008611,26,92,4.675,23.45733333157742
2013008559,36,94,34.090502980541196,40.0
2014003544,11,47,70.7513424,75.0
2014003544,47,132,74.8068792,75.0
2016004383,46,124,5.5,59.44207360847271
2016004383,131,141,58.58603387166238,60.0
2012008398,21,94,57.03881439566238,60.0
2012008398,133,143,33.44589,44.29922333333333
2014004559,58,126,57.03881440000001,60.0
2014004559,142,143,55.9283698,56.4894959740755
2015001332,4,9,58.519407199999996,60.0
