name,t_in,t_out,EStart,EEnd
2012008398,133,143,15.843806060541201,26.697139393874536
2016004384,46,124,4.775,29.7829333278007
2012008428,15,94,11.36024363824406,23.99999999824405
2012001381,38,96,6.89522139075383,23.99999999824408
2016004240,21,105,21.537709798244066,24.0
2016004240,130,132,4.675,6.845666666666666
2014003180,12,18,4.675,11.187000000000001
2014003180,27,93,4.675,23.999999998244085
2016007770,37,96,4.675,23.999999998244085
2012005275,104,143,14.498837114467369,29.980603524662996
2016002092,39,142,6.6659441942710975,29.999999994467373
2016003908,62,98,10.703632918244075,23.454742608933834
2016000840,50,143,4.775,29.99999999446736
2012010544,114,143,4.675,24.0
2015007301,27,98,10.047559466666666,23.999999998244085
2016004191,49,99,5.5,55.50185417349037
2013009190,36,102,5.5,58.9494657592973
2014001432,56,143,4.775,29.457333327800697
2016008917,20,30,16.563620334467352,26.605796041897236
2016008917,58,99,17.884888474467356,30.0
2012004774,18,40,4.775,27.2379466821738
2013006526,44,99,4.775,30.0
2012002496,0,143,4.675,23.999999998244085
2013000075,39,99,11.641427809539927,58.91617519529505
2016009119,22,99,9.982045551819871,30.0
2016002203,33,99,15.245570874467358,29.999999994467366
2012005554,16,100,6.352573447345082,29.999999994467373
2014005742,42,99,4.775,30.0
2016004567,17,114,5.5,59.83950868711165
2015000917,38,102,12.216725522781616,29.45733332780069
2015007706,16,100,29.551287195662407,59.98379903882395
2016000829,42,112,7.802343691221003,59.40086513254448
2016003971,23,143,16.06675610391481,39.99999946054122
2015006270,54,101,5.87096423207192,40.0
2015000835,38,101,5.95189891431813,24.0
2012005696,118,143,4.75,31.87218980469436
2015001903,16,100,4.775,29.99999999446736
2015000565,113,143,17.28930074146247,49.7139794519997
2013008450,19,133,11.740555196524108,29.99999999446733
2015009163,15,128,5.897129202978726,29.999999994467345
2016008014,14,143,12.509312398244063,23.45733333157738
2015001244,14,143,9.842727107887518,74.97719842681029
2012007474,26,141,8.2913696,74.36108596098865
2015002172,70,121,4.675,24.0
2015000944,43,104,37.92080638327789,74.3230508507229
2015007094,29,102,16.04380351446735,29.999999994467352
2012009644,72,143,5.75,72.14964932627689
2015005115,46,143,11.962136798244062,23.999999998244085
2015006164,12,132,16.88671719824406,23.999999998244057
2016008694,105,143,6.4410542524620595,23.992007976963354
2015007833,23,24,4.675,5.7603333333333335
2015007833,44,143,4.675,23.45733333157742
2015003283,28,105,4.675,24.0
2012003562,57,116,25.047412820965345,59.619102505995116
2015004822,24,143,35.216163995662406,59.99999999566241
2016009167,20,105,18.309373758244064,23.457333331577416
2013007854,27,102,13.87725139824406,23.999999998244085
2016001332,40,143,4.775,29.99999999446736
2012005378,35,102,13.80860458429896,59.52592963744897
2012005866,99,143,6.490380798244065,23.999999998244057
2016001507,103,143,7.915185643858709,51.32851897719204
2014004541,26,110,9.300279530633132,30.0
2016000633,42,103,4.779606285521416,40.0
2016003385,58,102,11.045198975684903,58.79986564235158
2013005525,12,138,10.947202377769878,23.999999998244068
2014000785,38,143,5.5,59.43939800358059
2014005292,38,97,16.01421857324604,71.46198617623463
2015006989,20,143,7.038096266666669,74.94468242160659
2014001624,5,102,6.600331826756957,23.999999998244085
2015004092,31,102,9.818788640017432,59.539948147723884
2012004645,22,42,10.047022198244065,24.0
2012004645,48,103,11.962136798244085,23.99999999824406
2013000946,20,143,6.891461369233101,74.40384657639098
2013003959,36,104,10.552907582853958,72.0497409598525
2013001293,31,104,4.75,39.987976250224015
2013006968,27,143,8.358198495092452,23.99999999824405
2012009409,17,104,6.724866247085661,59.868126296683684
2012010469,27,103,11.427306409720458,39.9965513630943
2016007039,14,104,8.682855027170413,29.45733332780066
2014004281,142,143,5.3316559982440594,6.416989331577393
2016001814,39,104,5.5,58.84898959032595
2013007098,40,104,5.943205198244064,24.0
2015007322,30,143,11.543530097563382,30.0
2014002496,16,103,8.700812357836954,73.6529651269549
2015000975,128,143,12.279540753395944,28.559540753395943
2012005564,20,114,21.26412199824407,24.0
2016007089,15,143,4.775,29.99999999446736
2016008483,28,104,7.942232634261442,30.0
2012006947,48,104,5.5,57.389301968776444
2013007327,40,104,13.275738714467366,29.99999999446734
2015006385,39,104,11.392241175879573,59.29989064533309
2016000127,30,104,19.515444831811063,73.45191878017096
2016005047,32,143,23.178300795662402,59.45733332899571
2016005793,44,104,17.70748059824406,24.0
2015000272,22,104,6.490130056249665,40.0
2012006856,7,110,7.7488846800000015,23.99999999824408
2016001391,20,33,4.728858846423535,18.838192179756867
2013002811,44,104,14.473911023527116,58.64194196449734
2015009223,27,135,7.090831414670875,23.99999999824407
2012010487,32,104,10.034088660541203,39.45070181970879
2015000108,132,140,13.60366359824405,21.717642058097546
2014006777,42,104,7.967750533835236,29.457333327800676
2015001632,14,104,9.9899312514026,74.38736131963319
